MW,KEGG,PathBank,WikiPathways,PFOCR
SBALNGLYQFMKPR,False,False,False,False
DJWXVEDJWPDUBQ,False,False,False,False
SZDGAZFTAUFFQH,False,False,False,False
PXFBZOLANLWPMH,False,False,False,False
XJOOMMHNYOJWCZ,,False,False,False
CJDRUOGAGYHKKD,,False,False,
HYBRYAPKQCZIAE,,False,False,False
IXPDLJKEPLTCOU,False,False,False,False
AKNNEGZIBPJZJG,,False,,
NGGOLDIRUNJLSH,False,False,False,False
DRVWTOSBCBKXOR,False,False,False,False
IZNXKZBIIFOWPU,False,False,False,False
MTXSIJUGVMTTMU,,False,False,False
SGNXVBOIDPPRJJ,False,False,False,False
ABMMKLCVJJTPJD,False,False,False,False
HJJPJSXJAXAIPN,False,False,False,
JHXYFYGGFKMUPN,False,False,False,False
ZDXGFIXMPOUDFF,,False,False,
VTTONGPRPXSUTJ,False,False,,
XFWSJSOEWSRENH,False,False,False,False
ZERVJPYNQLONEK,False,False,False,False
QPRMGHKASRLPJP,False,False,False,False
KLFYPJRLOIHTCM,False,False,False,False
GPLGAQQQNWMVMM,False,False,False,False
NDNUANOUGZGEPO,,False,False,False
CIPULDKLIIVIER,False,,,False
ZEBIACKKLGVLFZ,,False,False,
AJLCXXKDNUGKKH,False,False,False,False
CVBMAZKKCSYWQR,False,False,False,False
PBUNVLRHZGSROC,False,False,False,False
JWTAWEGUCCQPAM,False,False,False,False
NLPRAJRHRHZCQQ,False,False,False,False
SEJUQQOPVAUETF,False,False,False,False
AUOFTPXWUVYOOQ,,False,False,False
RIHQHYIWKHVLRH,False,False,False,False
FGNUNVVTHHKDAM,False,False,False,False
ADKXZIOQKHHDNQ,,False,False,False
YGSVZRIZCHZUHB,False,False,False,False
TYHJMEIBGDDCPA,,False,False,False
NIPLIJLVGZCKMP,False,False,False,False
HIOROZIUERMMRQ,False,False,False,False
XVPBINOPNYFXID,False,False,False,False
IUKLSMSEHKDIIP,False,False,False,
IQDIERHFZVCNRZ,False,False,False,
QCHFTSOMWOSFHM,,False,False,
KYBOBXNXZQTAKA,False,False,False,False
GPTFURBXHJWNHR,,False,False,False
HYTGGNIMZXFORS,False,False,False,False
BFLXOMFFVWQPAZ,False,False,False,False
SZLZWPPUNLXJEA,False,,False,False
QEVHRUUCFGRFIF,False,False,,
HJCSQOSWSRPBOU,False,False,False,False
RPQXVSUAYFXFJA,False,False,False,
FCEVNJIUIMLVML,False,False,False,
ZPTJKUUQUDRHTL,False,False,False,False
XOKCJXZZNAUIQN,False,,,
QQXLDOJGLXJCSE,,,False,
IHRIHUJNKKMIDN,False,False,False,False
JXLYSJRDGCGARV,,,,
VCMIRXRRQJNZJT,False,False,False,
NPNDUIMQBJIGQS,False,False,False,False
PIGCSKVALLVWKU,False,False,False,False
KOPSWXCGBMDQDZ,False,False,False,False
VQMSRUREDGBWKT,False,False,False,False
CQUUHDQRJWXDPY,,False,,
SMPZPKRDRQOOHT,,False,False,False
ATBZZQPALSPNMF,False,False,False,False
PLAXYWZLYBHIDB,False,False,False,False
GLXYKTASIIUSRC,False,False,False,False
XUUGIWDILRFFER,False,False,False,False
MYSWGUAQZAJSOK,,False,False,
HHCAZEOWGVDROC,False,False,False,False
XUBOMFCQGDBHNK,False,False,False,False
AIJTTZAVMXIJGM,False,False,False,False
HCZHHEIFKROPDY,,,,False
PEWWLIQAXYMMAN,False,False,False,False
FABPRXSRWADJSP,,False,False,False
OGJPXUAPXNRGGI,,False,False,False
GSDSWSVVBLHKDQ,,False,False,False
LOAUVZALPPNFOQ,False,False,,False
NJCJBUHJQLFDSW,False,False,False,False
FHAGACMCMQYSNX,,False,False,False
DZZWHBIBMUVIIW,,False,False,False
FBZONXHGGPHHIY,,,,
JHTJXLGLYZQIGI,False,False,False,False
HEFRPWRJTGLSSV,False,False,False,False
OYOUQHVDCKOOAL,False,False,False,False
PNAAOYLIDNSLKV,False,False,False,False
BHUYWUDMVCLHND,False,False,False,False
VREFGVBLTWBCJP,False,False,False,False
XDDJGVMJFWAHJX,False,False,False,False
YOOVTUPUBVHMPG,False,False,False,False
NFHRQQKPEBFUJK,False,False,False,False
AAOVKJBEBIDNHE,False,False,False,
CDCHDCWJMGXXRH,False,False,False,False
OFBIFZUFASYYRE,False,False,False,
DIWRORZWFLOCLC,False,False,False,False
DDLIGBOFAVUZHB,False,False,False,False
KJONHKAYOJNZEC,False,False,False,False
AKPLHCDWDRPJGD,False,False,False,
KVWDHTXUZHCGIO,False,False,False,False
ADIMAYPTOBDMTL,False,False,False,False
MWQCHHACWWAQLJ,False,False,False,False
SEQDDYPDSLOBDC,False,False,False,False
WDQPAMHFFCXSNU,False,False,False,
CMJFOBNRYRSQGE,False,False,False,False
XFALURCRIGINGT,,,,False
XGXCMUKDRZHNCO,False,False,False,False
HFDLDPJYCIEXJP,False,False,False,False
LUYISICIYVKBTA,False,False,False,False
SMYALUSCZJXWHG,False,False,False,False
HSGFCNFPJXZBFJ,False,False,False,False
VARHXCYGZKSOOO,False,False,False,False
PUFQVTATUTYEAL,False,,False,False
RFAIUXGESYTSKG,False,False,False,False
FWVHWDSCPKXMDB,False,False,False,False
FPCCSQOGAWCVBH,False,False,,False
XEEQGYMUWCZPDN,False,False,False,False
SMUQFGGVLNAIOZ,False,False,False,False
SMWDFEZZVXVKRB,False,False,False,False
YPSAOPXJHSESSR,False,False,False,False
ZGALAVFQYJOLRQ,False,False,False,False
PISGDLOMGNKHKP,False,False,False,
DNBWHNVLJOVDJI,False,False,False,False
QRIZONDFXOOWTA,False,False,False,False
PYELIMVFIITPER,,False,,False
RVEGZXNRNWUYKI,False,False,False,False
UJCGYTCAMOHYCG,False,False,False,False
FHQDWPCFSJMNCT,,,,
TZKAUGKXAWURCX,False,False,False,False
HEXMLHKQVUFYME,,,,False
UKUMBWIAJWVEDN,False,False,False,False
XLSZMDLNRCVEIJ,False,False,False,False
QRZMXADUXZADTF,,False,False,
DVNYTAVYBRSTGK,,,,False
AQIXAKUUQRKLND,False,,,
NPUKDXXFDDZOKR,False,False,False,
NTYJJOPFIAHURM,,,,
PEHSVUKQDJULKE,,False,False,False
RAXXELZNTBOGNW,False,False,False,False
MQSRGWNVEZRLDK,,,,
QDYTUZCWBJRHKK,False,False,False,False
PRJKNHOMHKJCEJ,,,,False
JTYMXXCJQKGGFG,False,False,False,False
VSFNAZLYGOOSEY,False,False,False,False
ZCKYOWGFRHAZIQ,,False,False,False
DOUYETYNHWVLEO,False,,False,False
HLFSDGLLUJUHTE,False,False,False,
GCQHUBANENYTLB,,,,False
ZHCKPJGJQOPTLB,,,False,False
VAOCPAMSLUNLGC,False,False,False,False
AEHPOYAOLCAMIU,False,False,False,False
VIHYIVKEECZGOU,False,False,False,False
GDBUORNHWAZSNU,False,False,False,False
XMFCOYRWYYXZMY,False,False,False,False
ZBKFFCZXHBPGFK,,False,,False
LOIYMIARKYCTBW,,,,False
ZAFYATHCZYHLPB,False,False,False,False
JFMCQBGTUJUOAB,,False,False,False
FXFBVZOJVHCEDO,False,False,False,False
UIYRNLNPZZABGX,False,False,False,False
LXBIFEVIBLOUGU,False,False,False,
YZNNBIPIQWYLDM,False,False,False,False
IBAQFPQHRJAVAV,False,False,False,
AAKDPDFZMNYDLR,False,False,False,False
CXQRNYIKPJXYLU,,False,False,False
NQRYJNQNLNOLGT,,False,False,False
MXXWOMGUGJBKIW,,False,False,
CRVXJVHSLVEDRI,False,False,False,False
LUGPGVVCVOWJLT,False,False,False,False
HDVAWXXJVMJBAR,,False,False,False
MAKBMGXNXXXBFE,False,False,,False
LDHMAVIPBRSVRG,,,,
GGOZGYRTNQBSSA,False,False,False,
BWZVCCNYKMEVEX,False,False,False,False
JJJLAXLRPLCXNT,,False,False,False
WLFXSECCHULRRO,,False,False,False
WJJMNDUMQPNECX,False,False,False,False
KPIVDNYJNOPGBE,False,False,False,False
