"pathwayRes","pathway","pathwayTitle","PubChem"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID5280338"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID5460362"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID24771768"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID5280604"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID16059194"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID46173753"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID86289058"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID104813"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID6602346"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID24798720"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID25244881"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID11006912"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID439283"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID150941"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID46173752"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID51351754"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID51351779"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID5462244"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID5490066"
"https://identifiers.org/wikipathways/WP5060_r123880","WP5060","Peptidoglycan cytoplasmic synthesis and recycling pathways","CID71080"
"https://identifiers.org/wikipathways/WP4688_r120418","WP4688","Serine metabolism","CID40480038"
"https://identifiers.org/wikipathways/WP4688_r120418","WP4688","Serine metabolism","CID7059387"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163186099"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163188683"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID122706221"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID11954197"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID91746147"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID21126457"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163191757"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163191755"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163192073"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163191976"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163191885"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163192178"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163192063"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163192001"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID163189569"
"https://identifiers.org/wikipathways/WP4545_r126793","WP4545","Oxysterols derived from cholesterol","CID102067553"
"https://identifiers.org/wikipathways/WP5074_r125313","WP5074","Kallmann syndrome","CID70678690"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID5288798"
"https://identifiers.org/wikipathways/WP4686_r122622","WP4686","Leucine, isoleucine and valine metabolism","CID5288565"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID5288565"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID45266540"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID24916915"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID15983958"
"https://identifiers.org/wikipathways/WP5329_r126886","WP5329","Cholesterol biosynthesis pathway in hepatocytes","CID15983958"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID19379894"
"https://identifiers.org/wikipathways/WP4190_r124024","WP4190","Mevalonate arm of cholesterol biosynthesis pathway","CID25244548"
"https://identifiers.org/wikipathways/WP5224_r127064","WP5224","2q37 copy number variation syndrome","CID5460200"
"https://identifiers.org/wikipathways/WP4157_r126055","WP4157","GABA metabolism (aka GHB)","CID5460200"
"https://identifiers.org/wikipathways/WP4519_r124524","WP4519","Cerebral organic acidurias, including diseases","CID5460200"
"https://identifiers.org/wikipathways/WP499_r118552","WP499","Fatty acid beta-oxidation 3","CID4418048"
"https://identifiers.org/wikipathways/WP148_r121852","WP148","Fatty acid beta-oxidation 2","CID53262356"
"https://identifiers.org/wikipathways/WP5392_r126838","WP5392","CBD synthetic pathway","CID53262356"
